i,outer_lat,outer_lon,inner_lat,inner_lon
202,42.71373457003312,23.273868228397077,42.71366477753263,23.273772591200856
203,42.713734783343654,23.27389870377918,42.71366377163743,23.273799996782326
204,42.71373516209636,23.273918726472587,42.71366307230474,23.27382865750038
205,42.71373612151465,23.273949187511267,42.713662777371944,23.273851225406233
206,42.71373754333725,23.27397963046609,42.71366271292622,23.27386561124106
207,42.71373873473778,23.27399965382723,42.713662872631076,23.27389644990728
208,42.71374094017524,23.274030050049358,42.71366307532488,23.273909335456302
209,42.71374266311088,23.274050083087776,42.713663900290975,23.27394172933444
210,42.71374566699177,23.274080410756152,42.713664312073405,23.273953039756634
211,42.71374916895918,23.274110684966864,42.71366582775119,23.2739859935482
212,42.713753171276345,23.274140897090966,42.713667127392746,23.2740078277796
213,42.71375610935794,23.274160925387267,42.71366950508175,23.274040730588286
214,42.71376096329219,23.274191012386897,42.71367137840976,23.274062544408565
215,42.713764477794584,23.27421102447375,42.71367348809556,23.27408435187135
216,42.71377018992222,23.27424096041666,42.71367711564707,23.27411714041969
217,42.7137743173468,23.27426099578836,42.71367843800402,23.2741279828554
218,42.713780909713215,23.274290750225795,42.713682785539255,23.27416068368845
219,42.71378565208793,23.27431077434055,42.71368769232055,23.27419330531006
220,42.71379076130156,23.274331217822766,42.713693159563206,23.274225837683876
221,42.71379850002232,23.27436030898216,42.71369919259425,23.274258269893696
222,42.713806856365835,23.274389616994974,42.71370579577966,23.274290590841215
223,42.713815731941764,23.274418771984635,42.713712973908926,23.27432278897658
224,42.71382215111959,23.274438775307697,42.71372072892895,23.274354853039007
225,42.7138318871005,23.27446765438,42.71372635691939,23.27437666171827
226,42.713838993402845,23.274487745164947,42.71373226675698,23.2743984730181
227,42.71384955227372,23.274516333643025,42.713738473499234,23.274420283265055
228,42.71386057096154,23.274544748134947,42.71374798129222,23.274451871969323
229,42.713865277277954,23.2745565038674,42.7137549287417,23.2744737268798
230,42.713873960073805,23.274577658763576,42.713765381894156,23.274505015458022
231,42.71387854570917,23.274588589730286,42.71377307401628,23.274526919834184
232,42.71388751454711,23.274609540538034,42.71378105662444,23.274548825367877
233,42.71389942591671,23.274636585769642,42.713792788834446,23.274579657218815
234,42.71390846750056,23.274656633206547,42.71380501126616,23.274610298111238
235,42.713921200320435,23.274684322272844,42.71381412564927,23.27463231293609
236,42.71393410886521,23.274711929899773,42.71382709791403,23.27466264407462
237,42.71394712132311,23.274739488730532,42.71383680838949,23.27468468171691
238,42.71395665818866,23.27475963050167,42.71384677628166,23.27470681957261
239,42.71396966689687,23.274787191098852,42.7138605520277,23.27473679450889
240,42.71397567231122,23.274799988604425,42.71386368671027,23.27474353248916
241,42.71398850458111,23.27482763174899,42.713874127468536,23.274765817788765
242,42.71400113105428,23.274855369452997,42.71388465675601,23.274788125669033
243,42.71401016813476,23.274875645882023,42.713891755515924,23.274803120057953
244,42.71402232138248,23.274903594097786,42.71390239398092,23.274825606650985
245,42.714030909247256,23.274923885318593,42.71391642641128,23.27485546236228
246,42.71403793219294,23.274940828958506,42.71392693707434,23.27487811155038
247,42.71404426458582,23.274956410492035,42.713937325577156,23.274900863902577
248,42.714050888683644,23.274973014102404,42.713950756350926,23.274930994904917
249,42.71406015250626,23.274996764691462,42.713960683868706,23.274953901019654
250,42.71407071525148,23.27502460838661,42.71397035032627,23.27497681387638
251,42.71407837880435,23.275045295544203,42.71397815122907,23.274995772870657
252,42.714088773225036,23.2750739445505,42.71398587034134,23.275014979791468
253,42.714098984752425,23.275102659284165,42.71399720443438,23.275044000574745
254,42.71410583611105,23.27512217704963,42.71400649970614,23.27506852489486
255,42.71411584765518,23.27515096214984,42.71401489776868,23.275091210295763
256,42.71411920296157,23.27516064950698,42.714026119542346,23.275122231911833
257,42.714129154862334,23.275189455293262,42.71403399495201,23.27514441190065
258,42.71413569853293,23.275208391112805,42.71404489938339,23.27517554654658
259,42.71414568780744,23.275237183954413,42.714052463247086,23.275197340279185
260,42.714152154650805,23.275255697489573,42.714059872310806,23.275218772892547
261,42.71416229575406,23.275284437186617,42.71407064459169,23.275249953534136
262,42.714172579550116,23.275313126117837,42.714081459821855,23.275281119297322
263,42.71417914012493,23.27533114413817,42.714088686886555,23.275301780992535
264,42.71418732266544,23.275353274165504,42.7140996859866,23.275332882308604
265,42.71419642493533,23.275377412668135,42.71410695030088,23.27535313237123
266,42.71420313241668,23.275394858621063,42.71411825872047,23.275384122522087
267,42.71421429529525,23.275423216963016,42.71412981026406,23.27541502284086
268,42.71422124426728,23.27544041699626,42.714141639101065,23.275445818042588
269,42.714228280778656,23.27545753740823,42.714149201966556,23.27546502289834
270,42.714240158013055,23.275485603964054,42.714161560835045,23.2754956091654
271,42.714252407241275,23.27551351012836,42.714174292438834,23.27552604213145
272,42.71425996293617,23.27553019006227,42.714187437942364,23.275556298521817
273,42.71427286878319,23.27555779858874,42.714195703716385,23.275574763282293
274,42.71428623368973,23.27558518778609,42.71420956907514,23.27560469657159
275,42.714300088250965,23.27561233250193,42.7142239303278,23.27563439505219
276,42.71430870388744,23.275628575700747,42.71423882420866,23.275663829939802
277,42.7143175551759,23.27564474525512,42.71425428931851,23.27569296866266
278,42.71432660323595,23.275660848160005,42.714270366652016,23.275721774012816
279,42.71433592048673,23.27567687167474,42.71428060372568,23.275739351986623
280,42.714345497783356,23.275692828911833,42.71429769061319,23.275767396869497
281,42.714355422930446,23.275708747519126,42.71431558927872,23.275795106800924
282,42.71436958232228,23.27573053938278,42.714334278403875,23.275822289576787
283,42.714378253712894,23.275743318286835,42.714353817267565,23.275848867860805
284,42.71439391513599,23.27576535800088,42.7143742832228,23.275874738554062
285,42.71441235662579,23.275789619580127,42.71439573482123,23.27589979742652
286,42.71443169660503,23.275813170566344,42.7144182669464,23.275923888536678
287,42.71445169257048,23.275835527702167,42.71444195413951,23.275946843481538
288,42.714466046269,23.27585034848055,42.714462527901794,23.275964851948977
289,42.71448096291892,23.27586464947729,42.71447574806453,23.275975479344517
290,42.7145039626986,23.275884635470547,42.71449492406087,23.275989653809624
291,42.71451343015799,23.275892135241037,42.71451272108282,23.276001446832073
292,42.71453829121734,23.275909749201308,42.71453255311586,23.27601305049718
293,42.71455727897228,23.275921176784415,42.714562190686614,23.276027505354723
294,42.714584632878335,23.275934580106355,42.714593171275006,23.27603878869062
295,42.71461337593533,23.27594464664839,42.714616152071166,23.27604462548879
296,42.714643237519525,23.275950587073613,42.71464880517596,23.27604913781356
297,42.71466678098956,23.27595186573783,42.71467286578022,23.276049520858173
298,42.714690390758825,23.27594990771443,42.7147056250977,23.276045908549722
299,42.71471995133983,23.275942671769222,42.71473749932329,23.27603752048161
